FID,owfid,country,lat,lon,p_name_4c,o_name_4c,capacity4c,yearmonth
2023,122024,China,"32° 29' 6.268"" N","121° 18' 3.079"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2017/6/1
2024,122025,China,"32° 26' 50.104"" N","121° 18' 3.757"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2018/3/1
2025,122026,China,"32° 27' 5.127"" N","121° 18' 4.370"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2018/7/1
2026,122027,China,"32° 27' 9.376"" N","121° 18' 5.361"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2018/9/1
2027,122028,China,"32° 27' 13.707"" N","121° 18' 8.185"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2019/3/1
2028,122029,China,"32° 27' 6.238"" N","121° 18' 14.038"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2017/3/1
2029,122030,China,"32° 26' 56.434"" N","121° 18' 15.684"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2018/8/1
2030,122031,China,"32° 32' 28.135"" N","121° 18' 16.076"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2020/6/1
2031,122032,China,"32° 27' 4.805"" N","121° 18' 18.118"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2020/2/1
2032,122033,China,"32° 27' 9.098"" N","121° 18' 19.058"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2018/12/1
2033,122034,China,"32° 30' 18.898"" N","121° 18' 19.893"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2019/10/1
2034,122035,China,"32° 26' 51.386"" N","121° 18' 19.857"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2019/10/1
2035,122036,China,"32° 27' 7.867"" N","121° 18' 22.561"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2018/5/1
2036,122037,China,"32° 29' 30.845"" N","121° 18' 22.516"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2019/10/1
2037,122038,China,"32° 26' 51.673"" N","121° 18' 23.395"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2019/10/1
2038,122039,China,"32° 33' 11.553"" N","121° 18' 26.255"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2018/5/1
2039,122040,China,"32° 27' 10.574"" N","121° 18' 24.114"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2021/7/1
2040,122041,China,"32° 27' 7.464"" N","121° 18' 29.053"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2021/3/1
2041,122042,China,"32° 26' 51.090"" N","121° 18' 32.443"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2015/11/1
2042,122043,China,"32° 30' 47.760"" N","121° 18' 35.258"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2019/4/1
2043,122044,China,"32° 26' 53.139"" N","121° 18' 37.125"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2020/10/1
2044,122045,China,"32° 32' 43.008"" N","121° 18' 39.770"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2021/2/1
2045,122046,China,"32° 31' 13.303"" N","121° 18' 42.719"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2020/2/1
2046,122047,China,"32° 26' 53.603"" N","121° 18' 42.639"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2019/5/1
2047,122048,China,"32° 26' 56.644"" N","121° 18' 44.939"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2017/2/1
2048,122049,China,"32° 27' 4.035"" N","121° 18' 47.522"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2019/12/1
2049,122050,China,"32° 29' 53.872"" N","121° 18' 46.610"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2017/6/1
2050,122051,China,"32° 27' 2.281"" N","121° 18' 51.153"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2020/8/1
2051,122052,China,"32° 32' 58.073"" N","121° 18' 58.557"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2018/10/1
2052,122053,China,"32° 30' 17.692"" N","121° 19' 3.275"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2017/6/1
2053,122054,China,"32° 30' 41.671"" N","121° 19' 23.234"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2019/5/1
2054,122055,China,"32° 31' 26.040"" N","121° 19' 29.831"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2019/7/1
2055,122056,China,"32° 31' 3.343"" N","121° 19' 48.429"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2021/6/1
2056,122057,China,"32° 31' 40.020"" N","121° 19' 57.126"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2021/2/1
2057,122058,China,"32° 31' 15.881"" N","121° 20' 5.822"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2020/8/1
2058,122059,China,"32° 31' 27.918"" N","121° 20' 22.152"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2018/9/1
2059,122060,China,"32° 31' 48.419"" N","121° 20' 28.022"" E",Longyuan Rudong Intertidal Trial Wind Farm,Rudong Offshore Wind Farm Demonstration Project - Expansion Project (200MW),200,2021/7/1
2060,122061,China,"32° 27' 44.383"" N","121° 20' 40.027"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2021/6/1
2061,122062,China,"32° 27' 51.517"" N","121° 20' 45.651"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2021/7/1
2062,122063,China,"32° 27' 55.880"" N","121° 20' 48.564"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2020/2/1
2063,122064,China,"32° 28' 14.133"" N","121° 21' 2.675"" E",Longyuan Rudong Intertidal Trial Wind Farm,Longyuan Rudong Intertidal Trial Wind Farm,32,2018/9/1
2064,122065,China,"32° 30' 45.380"" N","121° 13' 41.983"" E",Longyuan Rudong Intertidal Trial Wind Farm,Jiangsu Rudong 150MW Offshore (Intertidal) Demonstration Wind Farm,32,2020/8/1
2065,122066,China,"25° 26' 0.953"" N","119° 20' 35.395"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/3/1
2066,122067,China,"25° 26' 11.199"" N","119° 20' 35.418"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/5/1
2067,122068,China,"25° 26' 8.870"" N","119° 20' 35.641"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/10/1
2068,122069,China,"25° 26' 14.619"" N","119° 20' 35.727"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/8/1
2069,122070,China,"25° 25' 10.418"" N","119° 20' 37.276"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/8/1
2070,122071,China,"25° 25' 18.335"" N","119° 20' 36.619"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/8/1
2071,122072,China,"25° 25' 55.191"" N","119° 20' 37.577"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2016/2/1
2072,122073,China,"25° 25' 7.239"" N","119° 20' 38.401"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/4/1
2073,122074,China,"25° 25' 29.975"" N","119° 20' 38.528"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/2/1
2074,122075,China,"25° 26' 9.385"" N","119° 20' 39.450"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/8/1
2075,122076,China,"25° 26' 0.030"" N","119° 20' 39.829"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/10/1
2076,122077,China,"25° 26' 4.698"" N","119° 20' 39.522"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2016/6/1
2077,122078,China,"25° 26' 9.234"" N","119° 20' 42.242"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/11/1
2078,122079,China,"25° 25' 8.341"" N","119° 20' 42.167"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/6/1
2079,122080,China,"25° 26' 3.049"" N","119° 20' 43.144"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/6/1
2080,122081,China,"25° 25' 51.710"" N","119° 20' 43.882"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2018/12/1
2081,122082,China,"25° 25' 19.543"" N","119° 20' 50.483"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2017/4/1
2082,122083,China,"25° 24' 14.212"" N","119° 21' 11.234"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/10/1
2083,122084,China,"25° 24' 5.324"" N","119° 21' 26.841"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/4/1
2084,122085,China,"25° 24' 52.808"" N","119° 21' 31.135"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/2/1
2085,122086,China,"25° 25' 38.135"" N","119° 21' 32.894"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2017/8/1
2086,122087,China,"25° 26' 2.911"" N","119° 21' 35.689"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/7/1
2087,122088,China,"25° 23' 58.027"" N","119° 21' 43.759"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2018/4/1
2088,122089,China,"25° 25' 41.640"" N","119° 21' 49.770"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2018/8/1
2089,122090,China,"25° 26' 6.207"" N","119° 21' 52.689"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2016/4/1
2090,122091,China,"25° 25' 12.959"" N","119° 21' 53.189"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/11/1
2091,122092,China,"25° 23' 51.231"" N","119° 22' 0.513"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/1/1
2092,122093,China,"25° 24' 38.051"" N","119° 22' 2.727"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/7/1
2093,122094,China,"25° 25' 4.229"" N","119° 22' 7.502"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/6/1
2094,122095,China,"25° 25' 39.915"" N","119° 22' 8.341"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/4/1
2095,122096,China,"25° 26' 9.186"" N","119° 22' 10.410"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/3/1
2096,122097,China,"25° 23' 43.871"" N","119° 22' 17.456"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/2/1
2097,122098,China,"25° 25' 30.710"" N","119° 22' 25.503"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/6/1
2098,122099,China,"25° 24' 28.868"" N","119° 22' 25.782"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/2/1
2099,122100,China,"25° 26' 10.279"" N","119° 22' 27.511"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2018/2/1
2100,122101,China,"25° 23' 36.806"" N","119° 22' 34.325"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2017/6/1
2101,122102,China,"25° 25' 17.711"" N","119° 22' 36.063"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/10/1
2102,122103,China,"25° 25' 52.744"" N","119° 22' 37.638"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/8/1
2103,122104,China,"25° 24' 21.491"" N","119° 22' 42.860"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/3/1
2104,122105,China,"25° 23' 28.596"" N","119° 22' 51.157"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/12/1
2105,122106,China,"25° 25' 13.456"" N","119° 22' 57.561"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2017/4/1
2106,122107,China,"25° 24' 16.492"" N","119° 22' 59.908"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2017/4/1
2107,122108,China,"25° 25' 48.296"" N","119° 23' 0.056"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/4/1
2108,122109,China,"25° 23' 21.553"" N","119° 23' 8.005"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/10/1
2109,122110,China,"25° 26' 22.065"" N","119° 23' 8.800"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/5/1
2110,122111,China,"25° 26' 32.873"" N","119° 23' 12.854"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2018/5/1
2111,122112,China,"25° 25' 10.574"" N","119° 23' 16.656"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/2/1
2112,122113,China,"25° 24' 10.620"" N","119° 23' 17.191"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2015/12/1
2113,122114,China,"25° 26' 23.074"" N","119° 23' 19.767"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/12/1
2114,122115,China,"25° 25' 44.442"" N","119° 23' 21.219"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/6/1
2115,122116,China,"25° 26' 36.682"" N","119° 23' 20.831"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/6/1
2116,122117,China,"25° 26' 36.996"" N","119° 23' 23.362"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2018/8/1
2117,122118,China,"25° 26' 20.956"" N","119° 23' 24.820"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/9/1
2118,122119,China,"25° 23' 14.345"" N","119° 23' 24.966"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2018/4/1
2119,122120,China,"25° 26' 25.857"" N","119° 23' 26.236"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2017/4/1
2120,122121,China,"25° 24' 54.164"" N","119° 23' 33.873"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2015/7/1
2121,122122,China,"25° 24' 4.142"" N","119° 23' 34.975"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/6/1
2122,122123,China,"25° 26' 13.712"" N","119° 23' 40.290"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2016/1/1
2123,122124,China,"25° 23' 8.318"" N","119° 23' 41.827"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2016/2/1
2124,122125,China,"25° 25' 38.869"" N","119° 23' 41.876"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2018/6/1
2125,122126,China,"25° 24' 44.454"" N","119° 23' 51.963"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/5/1
2126,122127,China,"25° 23' 57.897"" N","119° 23' 52.357"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/2/1
2127,122128,China,"25° 23' 0.595"" N","119° 23' 59.515"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/4/1
2128,122129,China,"25° 25' 42.602"" N","119° 24' 2.862"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2020/8/1
2129,122130,China,"25° 23' 29.966"" N","119° 24' 4.689"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2018/6/1
2130,122131,China,"25° 23' 52.152"" N","119° 24' 8.310"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2017/4/1
2131,122132,China,"25° 25' 30.425"" N","119° 24' 10.671"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2018/11/1
2132,122133,China,"25° 24' 14.622"" N","119° 24' 12.668"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2021/4/1
2133,122134,China,"25° 25' 15.068"" N","119° 24' 15.461"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/4/1
2134,122135,China,"25° 24' 36.449"" N","119° 24' 16.458"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2019/10/1
2135,122136,China,"25° 24' 57.243"" N","119° 24' 22.460"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2018/6/1
2136,122137,China,"25° 24' 47.943"" N","119° 22' 50.790"" E",Fuqing Xinghua Bay - phase 2,"China Three Gorges New Energy Co., Ltd.",288.3,2018/9/1
2137,122138,China,"25° 23' 8.794"" N","119° 26' 19.914"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2019/4/1
2138,122139,China,"25° 22' 52.661"" N","119° 26' 34.494"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2018/7/1
2139,122140,China,"25° 23' 12.297"" N","119° 26' 42.490"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2015/11/1
2140,122141,China,"25° 23' 34.775"" N","119° 26' 47.550"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2017/2/1
2141,122142,China,"25° 22' 33.619"" N","119° 26' 49.225"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2019/12/1
2142,122143,China,"25° 23' 21.820"" N","119° 26' 59.580"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2021/4/1
2143,122144,China,"25° 22' 20.936"" N","119° 27' 3.819"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2021/5/1
2144,122145,China,"25° 23' 8.439"" N","119° 27' 11.453"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2020/4/1
2145,122146,China,"25° 22' 11.178"" N","119° 27' 20.825"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2020/6/1
2146,122147,China,"25° 22' 55.355"" N","119° 27' 23.503"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2021/4/1
2147,122148,China,"25° 23' 46.426"" N","119° 27' 39.672"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2019/3/1
2148,122149,China,"25° 22' 51.703"" N","119° 27' 43.707"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2019/12/1
2149,122150,China,"25° 23' 34.736"" N","119° 27' 52.687"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2017/6/1
2150,122151,China,"25° 23' 22.552"" N","119° 28' 6.153"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2020/12/1
2151,122152,China,"25° 23' 8.149"" N","119° 28' 21.552"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2021/6/1
2152,122153,China,"25° 22' 9.430"" N","119° 28' 29.135"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2017/6/1
2153,122154,China,"25° 22' 2.365"" N","119° 28' 37.277"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2020/2/1
2154,122155,China,"25° 23' 5.463"" N","119° 27' 7.806"" E",Fuqing Xinghua Bay - phase 1 (prototype test site),"China Three Gorges New Energy Co., Ltd.",78.4,2015/11/1
2155,122156,China,"25° 15' 50.374"" N","119° 28' 20.501"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2018/9/1
2156,122157,China,"25° 15' 52.925"" N","119° 28' 33.990"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2017/12/1
2157,122158,China,"25° 15' 40.880"" N","119° 28' 38.611"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2020/2/1
2158,122159,China,"25° 15' 4.404"" N","119° 28' 38.863"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2016/1/1
2159,122160,China,"25° 14' 25.809"" N","119° 31' 3.793"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2019/3/1
2160,122161,China,"25° 14' 38.227"" N","119° 29' 1.511"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2018/2/1
2161,122162,China,"25° 14' 41.846"" N","119° 29' 4.645"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2017/12/1
2162,122163,China,"25° 16' 1.008"" N","119° 29' 5.653"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2019/10/1
2163,122164,China,"25° 15' 51.597"" N","119° 29' 15.481"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2019/6/1
2164,122165,China,"25° 15' 33.546"" N","119° 29' 19.887"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2021/4/1
2165,122166,China,"25° 14' 41.273"" N","119° 29' 20.350"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2016/7/1
2166,122167,China,"25° 16' 7.665"" N","119° 29' 34.520"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2019/12/1
2167,122168,China,"25° 15' 18.268"" N","119° 29' 41.040"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2018/6/1
2168,122169,China,"25° 16' 0.173"" N","119° 29' 45.133"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2019/4/1
2169,122170,China,"25° 15' 12.006"" N","119° 29' 52.891"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2021/1/1
2170,122171,China,"25° 14' 34.197"" N","119° 29' 53.781"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2021/6/1
2171,122172,China,"25° 14' 15.205"" N","119° 29' 56.575"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2018/10/1
2172,122173,China,"25° 15' 5.736"" N","119° 30' 4.454"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2018/4/1
2173,122174,China,"25° 14' 4.260"" N","119° 30' 6.775"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2021/7/1
2174,122175,China,"25° 15' 52.022"" N","119° 30' 11.774"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2018/10/1
2175,122176,China,"25° 14' 59.503"" N","119° 30' 16.727"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2021/2/1
2176,122177,China,"25° 15' 44.425"" N","119° 30' 20.356"" E",Longyuan Putian Nanri Island I - 400MW Project - phase 1,China Longyuan Power Group Corporation Limited,204,2020/12/1
